정류장,호선_개수,주변_편의시설_개수,노선,위도,경도,주변_장애인시설_개수,지역구,8월_장애인_승객수,9월_장애인_승객수,10월_장애인_승객수,평균_장애인_승객수
증미,1,19,9,37.557402,126.861939,2,강서구,6276,6035,6399,6236.666666666667
화곡,1,78,5,37.541513,126.840461,1,강서구,23283,23886,25675,24281.333333333332
강남,2,42,2,37.49799,127.027912,2,서초구,24257,23812,24789,24286.0
고속터미널,3,18,3,37.504891,127.004916,0,서초구,40250,41978,43433,41887.0
교대(법원.검찰청),2,22,2,37.493961,127.014667,0,서초구,23549,24469,25294,24437.333333333332
구반포,1,7,9,37.501364,126.987332,0,서초구,848,845,823,838.6666666666666
남부터미널(예술의전당),1,28,3,37.485013,127.016189,0,서초구,14628,15482,15482,15197.333333333334
내방,1,10,7,37.487618,126.993513,3,서초구,7949,7987,8469,8135.0
논현,2,5,7,37.511093,127.021415,0,서초구,5638,5652,6105,5798.333333333333
반포,1,0,7,37.508178,127.011727,0,서초구,3682,3670,3828,3726.6666666666665
방배,1,6,2,37.481426,126.997596,2,서초구,7701,8467,9083,8417.0
사평,1,4,9,37.504206,127.015259,0,서초구,1885,1983,2076,1981.3333333333333
서초,1,11,2,37.491897,127.007917,0,서초구,9611,10015,11021,10215.666666666666
신논현,2,15,9,37.504598,127.02506,1,서초구,7904,8309,8983,8398.666666666666
신반포,1,6,9,37.503415,126.995925,0,서초구,2079,2397,2508,2328.0
신사,2,17,3,37.516334,127.020114,0,서초구,8492,9368,9368,9076.0
